title,rating,genre,cleaned_tokens
3-D Sex and Zen: Extreme Ecstasy,47.0,"'Drama', 'Adventure', 'Romance'",loosely base the century erotic chinese story name carnal prayer mat story follow young scholar name get marry beautiful daughter local merchant sex life prove unsatisfactory leave home journey pavilion ultimate bliss
Finch,80.0,"'Science Fiction', 'Drama', 'Adventure'",earth robot build protect life die creator beloved dog learn life love friendship mean human
Chappie,68.0,"'Crime', 'Action', 'Science Fiction'",every child come world full promise none chappie gift special prodigy like child chappie come influence good band rely heart soul find way world become man theres one thing make chappie different one else robot
Furious 7,72.0,"'Action', 'Thriller', 'Crime', 'Adventure'",declare shaw seek revenge dominic toretto family comatose brother
The Killer,80.0,"'Action', 'Crime'",retire hitman wife go vacation friend ask look friends teenage daughter thing go awry force use little violence protect girl juvenile delinquent find dead girl kidnap
The Roundup,72.0,"'Action', 'Crime'",beast cop soko head foreign country extradite suspect soon arrival discover additional murder case hear vicious killer commit crime tourists several year
Nobody,81.0,"'Action', 'Crime', 'Thriller'",hutch mantel suburban dad overlook husband nothing neighbor nobody two thieve break home one night hutch unknown rage ignite propel brutal path uncover dark secret fight leave behind
Toy Story 4,75.0,"'Family', 'Adventure', 'Animation', 'Comedy', 'Fantasy'",woody always confident place world priority take care kid whether thats andy bonnie bonnie add reluctant new toy call forty room road trip adventure alongside old new friend show woody big world toy
Under Wraps 2,68.0,"'Family', 'Comedy', 'Fantasy', 'TV Movie'",marshall gilbert amy prepare father wed fianc carl plan go awry discover mummy friend harold beloved rise may danger
The Parent Trap,71.0,"'Comedy', 'Family'",hallie parker annie jam identical twin separate young age parent divorce unknowingly parent girl send summer camp meet discover truth plot switch place
Percy Jackson & the Olympians: The Lightning Thief,62.0,"'Adventure', 'Fantasy', 'Family'",accident prone teenager percy discover he actually demigod son poseidon need zeus lightning steal percy must master new find skill order prevent war god could devastate entire world
Honor Society,79.0,'Comedy',honor ambitious high school senior whose sole focus get harvard assume first score covet recommendation guidance counselor my calvin will whatever take honor concoct plan take top three student competitor thing take turn unexpectedly fall big competition michael
The House,71.0,"'Animation', 'Drama', 'Comedy', 'Horror', 'Fantasy'",across different era poor family anxious developer fed landlady become tie mysterious house animate dark comedy
Jumanji: Welcome to the Jungle,68.0,"'Adventure', 'Action', 'Comedy', 'Fantasy'",four teenager detention discover old video game console game theyve never hear decide play immediately suck jungle world body avatars theyll complete adventure live fill fun thrill danger stick game forever
Creed II,70.0,"'Drama', 'Action'",personal obligation train next big fight opponent tie family past adonis creed challenge life
Iron Man 3,69.0,"'Action', 'Adventure', 'Science Fiction'",tony starks world tear apart formidable terrorist call mandarin start odyssey rebuild retribution
How to Train Your Dragon 2,77.0,"'Fantasy', 'Action', 'Adventure', 'Animation', 'Comedy', 'Family'",five year pas since hiccup toothless unite dragon viking berk spend time chart unmapped territory one adventure pair discover secret cave house hundred wild dragon mysterious dragon rider turn hiccup mother alka hiccup toothless find center battle protect berk warrior name drago
The Call of the Wild,76.0,"'Adventure', 'Family', 'Drama'",buck bighearted dog whose blissful domestic life turn upside suddenly uproot california home transplant exotic wild yukon gold rush new rookie mail delivery dog sled demand later experience adventure lifetime ultimately find true place world become master
The Twilight Saga: New Moon,60.0,"'Adventure', 'Fantasy', 'Drama', 'Romance'",fork washington resident bella swan reel departure vampire love edward cullen find comfort friendship jacob black werewolf know shes thrust conflict desire edward cost lead take great great risk
Chip 'n Dale: Rescue Rangers,70.0,"'Animation', 'Family', 'Comedy', 'Adventure', 'Mystery'",decade since successful television series cancel chip succumb life suburban domesticity insurance salesman dale meanwhile cgi surgery work nostalgia convention circuit desperate relive glory day former cast mate mysteriously disappear chip dale must repair break friendship take rescue ranger detective persona save friend life
Mulan,69.0,"'Adventure', 'Fantasy', 'Drama', 'Action'",emperor china issue decree one man per family must serve imperial chinese army defend country hun hua mulan eldest daughter honor warrior step take place ail father spirit determine quick foot disguise man name hua jun test every step way must harness innermost strength embrace true potential
San Andreas,62.0,"'Action', 'Drama', 'Thriller'",massive earthquake california pilot make dangerous journey across state order rescue estrange daughter
Tarzan,74.0,"'Family', 'Adventure', 'Animation', 'Drama'",tarzan small orphan raise ape name kala since child believe family expedition jane porter rescue tarzan find he human tarzan must make decision family belong
The Hangover Part II,65.0,'Comedy',hangover crew head thailand stud wed disaster bachelor party la vega last year stu play safe mellow pretending brunch however nothing go plan bangkok perfect set another adventure rowdy group
Jurassic World,67.0,"'Action', 'Adventure', 'Science Fiction', 'Thriller'",year event jurassic park isla nuclear feature fully function dinosaur theme park jurassic world originally envision john hammond
The Unbearable Weight of Massive Talent,68.0,"'Action', 'Comedy', 'Crime'",creatively unfulfilled face financial ruin nick cage must accept million offer attend birthday dangerous superman thing take wildly unexpected turn cage recruit cia operative force live legend channel iconic beloved onscreen character order save love one
Taken,74.0,"'Action', 'Thriller'",vacation friend paris american girl kidnap gang human trafficker intent sell force prostitution work clock easy father must pull stop save best year possibly behind job may handle
Transfusión,69.0,"'Action', 'Drama', 'Thriller', 'Crime'",ryan logan former special force operative battle cope life loss wife thrust criminal underworld keep son take
Ant-Man,71.0,"'Science Fiction', 'Action', 'Adventure'",arm astonish ability shrink scale increase strength master thief scott lang must embrace help mentor doctor hank gym protect secret behind spectacular animal suit new generation tower threat seemingly insurmountable obstacle gym lang must plan pull heist save world
Man of Steel,66.0,"'Action', 'Adventure', 'Science Fiction'",young boy learn extraordinary power earth young man journey discover come send hero must emerge save world annihilation become symbol hope mankind
Bring It On: Cheer Or Die,63.0,"'Thriller', 'Horror', 'Comedy', 'TV Movie'",cheer squad practice routine halloween weekend abandon school pick one one unknown killer
The Seven Deadly Sins: Grudge of Edinburgh Part 1,81.0,"'Animation', 'Fantasy', 'Adventure', 'Action'",tristan son melinda elizabeth inherit power goddess clan heal people wound injury often end hurt others due inability control demon clan power protect family tristan head edinburgh castle meet host new friend along way
Detective Knight: Independence,53.0,"'Action', 'Thriller', 'Crime'",detective jam knight assignment independence day shift turn race stop unbalance ambulance emt imperil city festivity misguide vigilante play cop steal gun uniform bank vault full reason put firework show one strike dangerously close knight home
Hustle,78.0,"'Drama', 'Comedy'",discover player rocky past abroad luck basketball scout take upon bring phenom state without team approval odds one final shoot prove take make nba
Brave,70.0,"'Animation', 'Adventure', 'Comedy', 'Family', 'Action', 'Fantasy'",brave set mystical scottish highland frida princess kingdom rule king fergus queen minor unruly daughter accomplish archer frida one day defy sacred custom land inadvertently bring turmoil kingdom attempt set thing right frida seek eccentric old wise woman grant inflated wish also figure midas quest serve comic relief kingdom three lord enormous lord surly lord macintosh disagreeable lord
Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),70.0,"'Action', 'Crime'",harley quinn join force singer assassin police detective help young girl hit place steal rare diamond crime lord
The Grinch,68.0,"'Animation', 'Family', 'Comedy', 'Fantasy'",grinch hatch scheme ruin christmas resident plan annual holiday celebration
Sakra,55.0,"'Action', 'Drama'",new adaptation louis chas julia novel demigod
Ready Player One,76.0,"'Science Fiction', 'Adventure', 'Action'",creator popular video game system die virtual contest create compete fortune
Batman v Superman: Dawn of Justice,59.0,"'Action', 'Adventure', 'Fantasy'",fear action godlike super hero leave unchecked gotham city formidable forceful vigilante take metropolis revere modernity savior world wrestle sort hero really need batman superman war one another new threat quickly arise put mankind great danger ever know
Spider-Man: Across the Spider-Verse,0.0,"'Animation', 'Action', 'Adventure', 'Science Fiction'",reunite gwen stacy mile morales brooklyn fulltime friendly neighborhood spiderman catapult across multiverse encounter team charge protect existence hero clash handle new threat mile find pit spider must redefine mean hero save people love
Bad Boys for Life,72.0,"'Thriller', 'Action', 'Crime'",marcus mike force confront new threat career change midlife crisis join newly create elite team ammo miami police department take ruthless armando arms vicious leader miami drug cartel
Mad Max: Fury Road,76.0,"'Action', 'Adventure', 'Science Fiction'",apocalyptic story set furthest reach planet stark desert landscape humanity break everyone craze fight necessity life within world exist two rebel run might able restore order
Beyond the Universe,79.0,"'Romance', 'Drama', 'Comedy'",wait kidney transplant young pianist find unexpected connection doctor courage fulfill musical dream
Magnum Opus,73.0,"'Animation', 'Family', 'Science Fiction', 'Comedy'",root set paint family portrait guardian discover messy artistic process
Spider-Man 3,64.0,"'Fantasy', 'Action', 'Adventure'",seemingly invincible spiderman go alone crop shapeshifting sandman spiderman superpower alter alien organism alter ego peter parker deal nemesis eddie brock also get catch love triangle
The Equalizer,72.0,"'Thriller', 'Action', 'Crime'",mccall believe put mysterious past behind dedicate begin new quiet life meet teri young girl control ultraviolet russian gangster cant stand idly help arm hide skill allow serve vengeance anyone would brutalize helpless mccall come retirement find desire justice reawaken someone problem odds stack nowhere else turn mccall help equalizer
The Meg,62.0,"'Action', 'Science Fiction', 'Horror'",deep sea submersible pilot revisit past fear mariana trench accidentally unleash seventy foot ancestor great white shark believe extinct
Aladdin,76.0,"'Animation', 'Family', 'Adventure', 'Fantasy', 'Romance'",princess jasmine grow tire force remain palace sneak marketplace disguise meet aladdin couple fall love although jasmine may marry prince throw jail aladdin become embroil plot find mysterious lamp evil afar hop rule land
Erotic Tutoring,54.0,"'Romance', 'Comedy', 'Drama'",bar exam student tutor relieve others sexual passion love
Ron's Gone Wrong,80.0,"'Animation', 'Science Fiction', 'Family', 'Comedy'",world walk talk digitally connect bot become childrens best friend yearly find robot buddy doesn't quite work others
Elite Squad,81.0,"'Drama', 'Action', 'Crime'",visit pope rio de captain bope special police operation battalion assign eliminate risk drug dealer dangerous slum nearby pope intend lodge
Kung Fu Panda 3,69.0,"'Action', 'Adventure', 'Animation', 'Comedy', 'Family'",continue legendary adventure awesomeness po must face two hugely epic different threat one supernatural little closer home
Scary Movie 5,48.0,'Comedy',home family happy parent dan jody haunt sinister paranormal activity determine expel insidious force install security camera discover family stalk evil dead demon
THE FIRST SLAM DUNK,84.0,"'Animation', 'Comedy', 'Drama'",samurai delinquent long history get dump girl enrol shook high school become interest girl name haruka love game basketball
Guardians of the Galaxy Vol. 2,76.0,"'Adventure', 'Action', 'Science Fiction'",guardian must fight keep newfound family together unravel mystery peter quill true parentage
Naruto Shippuden the Movie: Blood Prison,73.0,"'Thriller', 'Animation', 'Action', 'Comedy', 'Horror', 'Mystery'",capture attempt assassination package leader well kill join naruto imprison criminal containment facility know blood prison mum castle master use ultimate imprisonment technique steal power prisoner naruto notice life target thus begin battle uncover truth behind mysterious murder prove naruto innocence
Spirit Untamed,74.0,"'Animation', 'Adventure', 'Family', 'Western'",lucky prescott life change forever move home city small frontier town befriend wild mustang name spirit
King,67.0,"'Adventure', 'Comedy', 'Family'",king traffic lion cub escape airport take refuge in alex crazy idea get back africa anything happen max kooky grandfather decide join adventure
Cuando Sea Joven,88.0,"'Comedy', 'Fantasy'",yearly malena get second chance life magically turn yearly self pose maria hide true identity become lead singer grandson band try recover dream sing give point
Ice Age: Dawn of the Dinosaurs,67.0,"'Animation', 'Comedy', 'Family', 'Adventure'",time change manny moody mammoth sid motor mouth sloth diego crafty tiger life heat hero meet new neighbor mighty dinosaur
Venom,68.0,"'Science Fiction', 'Action'",investigative journalist eddie brock attempt comeback follow scandal accidentally become host venom violent super powerful alien symbiote soon must rely newfound power protect world shadowy organization look symbiote
Thor,68.0,"'Adventure', 'Fantasy', 'Action'",father odin mighty thor powerful arrogant warrior god recklessly reignite ancient war thor cast earth force live among human punishment thor learn take true hero dangerous villain world send dark force asgard invade earth
Legend Quest: The Origin,83.0,"'Animation', 'Comedy', 'Fantasy', 'Adventure', 'Family'",human baby cross eternal mirror portal live death open path be underworld
Deadpool 2,75.0,"'Action', 'Comedy', 'Adventure'",wisecrack mercenary deadpool battle evil powerful cable bad guy save boy life
Jurassic World: Fallen Kingdom,66.0,"'Action', 'Adventure', 'Science Fiction', 'Thriller'",island dormant volcano begin roar life owen claire mount campaign rescue remain dinosaurs event
Marudase Kintarou,60.0,"'Romance', 'Comedy', 'Animation'",makoto grandfather principal great academy pas away leave makoto school staff one important one man able seduce makoto superb sexual technique give right take academy new principal ridiculous last request makoto every faculty member target sexual harassment desperate protect virginity makoto seek help childhood friend man always love intro
That's My Boy,58.0,"'Comedy', 'Drama'",teen donny father son todd raise single parent todd the birthday see year odds world come crash donny resurface todd wed
Cars,69.0,"'Animation', 'Adventure', 'Comedy', 'Family'",lightning mcqueen hotshot rookie race car drive succeed discover life journey finish line find unexpectedly detour sleepy route town radiator spring route across country big piston cup championship california compete two season pro mcqueen get know town offbeat character
Let's Be Cops,65.0,'Comedy',ultimate buddy cop movie except one thing there cop two struggle pal dress police officer costume party become neighborhood sensation hero get tangle real life web mobster dirty detective must put fake badge line
WarHunt,51.0,"'Action', 'Horror', 'Thriller', 'War', 'Fantasy'",u military cargo plane lose control violently crash behind enemy line middle german black forest major johnson send squad brave soldier rescue mission retrieve material plane carry lead sergeant brewer walsh soon discover hang nazi soldier dead body bear ancient magical symbol suddenly compass fail perception twist stray group lead profound horror attack powerful supernatural force
Forrest Gump,85.0,"'Comedy', 'Drama', 'Romance'",man low iq accomplish great thing life present significant historic events case far exceed anyone imagine could despite achieve one true love elude
How the Grinch Stole Christmas,67.0,"'Family', 'Comedy', 'Fantasy'",grinch decide rob christmas dash kindness little cindy lou family may enough melt heart
How to Train Your Dragon,78.0,"'Fantasy', 'Adventure', 'Animation', 'Family'",son viking leader cusp manhood shy hiccup horrendous haddock iii face rite passage must kill dragon prove warrior mettle down fear dragon realize longer want destroy instead befriend beast name toothless much chagrin warrior father
The Hangover Part III,62.0,'Comedy',time there wed bachelor party could go wrong right hit road bet
Penguins of Madagascar,65.0,"'Family', 'Animation', 'Adventure', 'Comedy'",skipper rico private join force undercover organization north wind stop villainous do octavian brine destroy world know
The Twilight Saga: Breaking Dawn - Part 1,62.0,"'Adventure', 'Fantasy', 'Romance'",new find marry bliss bella swan vampire edward cullen cut short series betrayal misfortune threaten destroy world
The Hobbit: An Unexpected Journey,73.0,"'Adventure', 'Fantasy', 'Action'",bilbo baggins hobbit enjoy quiet life sweep epic quest gandalf grey thirteen dwarf seek reclaim mountain home smaug dragon
Scary Movie 2,58.0,'Comedy',original parody slasher flick like scream keener ivory mayans sequel scary movie take comedic aim haunt house movie group student visit mansion call hell house murderous high jinks ensue
Sicario,74.0,"'Action', 'Crime', 'Thriller'",idealistic fbi agent enlist government task force aid escalate war drug border area u mexico
A Bug's Life,70.0,"'Adventure', 'Animation', 'Comedy', 'Family'",behalf oppress bug everywhere inventive ant name flik hire troupe warrior bug defend bustle colony horde freeload grasshopper lead hopper
"One Piece ""3D2Y"": Overcome Ace's Death! Luffy's Vow to his Friends",74.0,"'Action', 'Animation', 'Adventure', 'Comedy', 'Fantasy'",special take place two year straw hat reunite nobody fluffy currently train get strong take new world however train interrupt hancock sister marigold kidnap brandi world pirate lock away level impel escape cuffs invasion save ace order lure hancock use hostage world government due status thus fluffy hancock head confront save hancock sister
Pokemon the Movie: Mewtwo Strikes Back - Evolution,67.0,"'Animation', 'Adventure', 'Fantasy', 'Action', 'Family'",accept invitation mysterious trainer ash misty brock meet metro artificially create pokemon want battle
Matilda,71.0,"'Comedy', 'Family', 'Fantasy'",extraordinarily intelligent young girl cruel uncaring family discover possess telekinetic power send school head tyrannical principal
Snake Eyes: G.I. Joe Origins,66.0,"'Action', 'Adventure'",save life heir apparent tenacious loner snake eye welcome ancient japanese clan call teach way ninja warrior secret past reveal snake eye honor allegiance test even mean lose trust closest
Father There Is Only One 3,76.0,"'Comedy', 'Family'",christmas come child accidentally break nativity scene figurine father collection must mean get equal one problem unique antique piece sara eldest daughter break boyfriend ocho try recover favor help javier precisely javier marissa father welcome family home spend holiday recent separation leave javier mother indifferent rock folklore family play virgin several christmas relegate year play shepherd something father javier will assume
The Jungle Book,73.0,"'Family', 'Animation', 'Adventure'",boy mogwai make way wise panther along way meet jazzy king louie hypnotic snake aka lovable bear baloo teach mogwai bare necessities life true mean friendship
Fantastic Beasts and Where to Find Them,73.0,"'Action', 'Adventure', 'Fantasy'",newt salamander arrive magical congress unite state america magically expand briefcase house number dangerous creature habitats creature escape briefcase send american wizarding authority newt threaten strain even state magical relation
Tom & Jerry,69.0,"'Comedy', 'Family', 'Animation'",tom cat jerry mouse get kick home relocate fancy new york hotel scrappy employee name kayla lose job cant evict jerry wed hotel solution hire tom get rid pesky mouse
The Emperor's New Groove,75.0,"'Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy'",kazoo emperor summon pasha village tell home destroy make room kudos new summer home kudos advisor yuma try poison kazoo accidentally turn llama accidentally end pasha village pasha offer help kazoo doesn't destroy house form unlikely partnership
The Karate Kid,65.0,"'Action', 'Adventure', 'Drama', 'Family'",dre parker could popular kid detroit mother late career move land china dre immediately fall classmate mei ying cultural difference make friendship impossible even bad does feel make enemy class bully cheng friend strange land dre nowhere turn maintenance man my han kung fu master han teach dre kung fu punch parry maturity calm dre realize face bully fight life
Wish Dragon,80.0,"'Animation', 'Family', 'Comedy', 'Fantasy'",determine teen din long reconnect childhood best friend meet dragon show magic possibility
Yaksha: Ruthless Operations,64.0,"'Action', 'Adventure', 'Crime', 'Thriller'",nickname spirit ruthless leader overseas black ops team take dangerous mission city riddle spy
Ice Age: The Meltdown,67.0,"'Animation', 'Family', 'Comedy', 'Adventure'",diego manny sid return sequel hit animate movie ice age time around deep freeze recovered earth start melt destroy trio cherish valley spend disaster prompt reunite warn beast desperate situation
Mission: Impossible - Fallout,74.0,"'Action', 'Adventure'",imf mission end badly world face dire consequence ethan hunt take upon fulfill original brief cia begin question loyalty motif imf team find race time hunt assassin try prevent global catastrophe
Journey 2: The Mysterious Island,61.0,"'Adventure', 'Action', 'Science Fiction'",sean anderson partner mom boyfriend mission find grandfather think miss mythical island
Creed,74.0,"'Drama', 'Action'",former world heavyweight champion rocky balboa serve trainer mentor adonis johnson son late friend former rival apollo creed
The Mummy,69.0,"'Adventure', 'Action', 'Fantasy'",dash legionnaire rick o'connell stumble upon hide ruin midst battle claim area egypt three thousand year since former high priest lmhotep suffer fate bad death punishment forbid livelong curse guarantee eternal doom upon world ever awake
Train to Busan,78.0,"'Horror', 'Thriller', 'Science Fiction', 'Action'",zombie virus push korea state emergency trap express train busan must fight survival
Taken 2,63.0,"'Action', 'Crime', 'Thriller'",istanbul retire cia operative bryan mill wife take hostage father kidnapper mill kill rescue daughter
Knowing,61.0,"'Action', 'Mystery', 'Science Fiction', 'Thriller'",teacher open time capsule dig son elementary school chill prediction already occur others lead believe family play role event unfold
The SpongeBob SquarePants Movie,70.0,"'Family', 'Animation', 'Comedy', 'Fantasy', 'Adventure'",there trouble brew bikini bottom someone steal king neptune crown look like my grab spongebob boy culprit though he pass promotion dream spongebob stand boy along best pal patrick set treacherous mission shell city reclaim crown save my grabs life
Prometheus,65.0,"'Science Fiction', 'Adventure', 'Mystery'",team explorer discover clue origin mankind earth lead journey dark corner universe must fight terrify battle save future human race
Kingsman: The Secret Service,76.0,"'Crime', 'Comedy', 'Action', 'Adventure'",story spy organization recruit unrefined promise street kid agency train program global threat emerge twist tech genius
The Simpsons Movie,70.0,"'Animation', 'Comedy', 'Family'",homer accidentally pollute town water supply springfield encase gigantic dome era simpson declare fugitive
The Wizard of Oz,76.0,"'Adventure', 'Fantasy', 'Family'",young dorothy find magical world make friend lion scarecrow tin man make way along yellow brick road talk wizard ask thing miss live wicked witch west thing could stop
Maze Runner: The Death Cure,71.0,"'Science Fiction', 'Action', 'Adventure', 'Thriller'",thomas lead group escape graders final dangerous mission yet save friend must break legendary last city labyrinth may turn deadly maze anyone make alive get answer question graders ask since first arrive maze
Trading Places,72.0,'Comedy',snobbish investor wily street find position reverse part bet two callous millionaire
Tom and Jerry Cowboy Up!,69.0,"'Animation', 'Comedy', 'Family', 'Western'",time rival team help cowgirl brother save homestead greedy there go need help jerry three precocious nephew ready action tom round posse prairie dog ragtag band varmint defeat deceitful desperado determine deceive damsel distress matter happen tom jerry saddle itll rooting tooting good time
My Sweet Monster,66.0,"'Animation', 'Adventure', 'Family'",scandal royal family wayward princess barbara escape palace go forest search handsome prince however instead cherish meet beloved capture yuka dangerous robber kingdom quickly become clear brisk princess ready turn lukas life nightmare reach goal restless barbara begin establish order forest
Road to Ninja: Naruto the Movie,76.0,"'Animation', 'Fantasy', 'Action'",sixteen year ago mysterious mask ninja unleash powerful creature know demon fox hide leaf village kono kill many people response fourth hokage into kamikaze wife pushing demon fox live prison manage seal creature inside newborn son naruto tail beast seal thing continue normal however present day peace end group ninja call attack kono guidance toby mysterious mask man behind fox rampage year ago intend execute plan rule world shroud illusion
My Father's Dragon,77.0,"'Animation', 'Adventure', 'Family', 'Fantasy', 'Comedy'",struggle cope move city mother elmer run away search wild island young dragon wait rescue elders adventure introduce ferocious beast mysterious island friendship lifetime
Kingsman: The Golden Circle,70.0,"'Action', 'Adventure', 'Comedy', 'Science Fiction', 'Crime'",attack kinsman headquarter take place new villain rise eggs merlin force work together american agency know statesman save world
Maleficent,71.0,"'Fantasy', 'Adventure', 'Action', 'Family', 'Romance'",beautiful preheated young woman maleficent idyllic life grow peaceable forest kingdom one day invade army threaten harmony land maleficent rise land fierce protector ultimately suffer ruthless betrayal act begin turn heart stone bend revenge maleficent face epic battle invade king successor result place curse upon newborn infant aurora child grow maleficent realize aurora hold key peace kingdom maleficent true happiness well
Young Mother,50.0,"'Comedy', 'Romance'",jingle enjoy erotic moment think pretty english tutor one day catch middle embarrass moment become awkward however become opportunity start teach sex relationship become uncontrollable romance however quit tutor relationship get marry time go jingle grow he use thoughtless sex however partner benefit get pregnant meet talk marriage however shes beautiful sexy move laws soon break marriage due wife fling doesn't know make daughter do jingle suggest something dangerous
Ava,58.0,"'Action', 'Crime', 'Drama', 'Adventure', 'Thriller'",black ops assassin force fight survival job go dangerously wrong
Miraculous Ladybug & Cat Noir: The Movie,0.0,"'Animation', 'Fantasy', 'Action'",pair parisian high schoolers protect city vigilante hero without reveal identity anyone include
Just Go with It,67.0,"'Comedy', 'Romance'",plastic surgeon romance much young schoolteacher enlist loyal assistant pretend soon wife order cover careless lie lie backfire assistant kid become involve everyone head weekend hawaii change live remake cactus flower
Doctor Strange,74.0,"'Action', 'Adventure', 'Fantasy'",career destroy brilliant arrogant surgeon get new lease life sorcerer take wing train defend world evil
The Dark Knight Rises,78.0,"'Action', 'Crime', 'Drama', 'Thriller'",follow death district attorney harvey dent batman assume responsibility dent crime protect late attorney reputation subsequently hunt gotham city police department eight year later batman encounter mysterious selina kyle villainous bane new terrorist leader overwhelm gotham finest dark knight resurface protect city brand enemy
Fifty Shades of Black,49.0,"'Romance', 'Comedy'",inexperienced college student meet wealthy businessman whose sexual practice put strain relationship
Maleficent: Mistress of Evil,73.0,"'Family', 'Fantasy', 'Adventure', 'Action'",maleficent goddaughter aurora begin question complex family tie bind pull different direction spend nuptials unexpected ally dark new force play
The Little Guy,74.0,"'Animation', 'Family', 'Comedy', 'Science Fiction'",root discover miniature civilization believe seemingly enormous tree toddler hero theyve wait
Ticket to Paradise,69.0,"'Romance', 'Comedy'",divorce couple team travel bali stop daughter make mistake think make year ago
Slayers,47.0,"'Horror', 'Comedy', 'Fantasy'",group superstar influences draw reclusive billionaire mansion find trap lair evil vampire way save famous online gamer old school vampire hunter
Along with the Gods: The Two Worlds,81.0,"'Drama', 'Fantasy', 'Action'",die unexpectedly firefighter along take guardian pass trial day prove innocent human life he able reincarnate guardian side defend trial
The School Teacher,51.0,'Comedy',edge french play sexy private teacher franco alfredo pea immediately fall madly love franco try try seduce fake suicide
Pokémon Detective Pikachu,70.0,"'Action', 'Adventure', 'Fantasy'",world people collect monster pokemon battle boy come across intelligent monster seek detective
Legion,58.0,"'Horror', 'Action', 'Fantasy'",god lose faith humankind send legion angel bring apocalypse humanity hope survival lie group stranger trap desert diner archangel michael
The Marksman,69.0,"'Action', 'Thriller'",jim hanson quiet life suddenly disturb two people cross mexico border woman young son desperate flee mexican cartel shootout leave mother dead jim become boys reluctant defender embrace role miguel protector stop nothing get safety go run relentless assassin
Spirit: Stallion of the Cimarron,77.0,"'Western', 'Animation', 'Adventure', 'Comedy', 'Family', 'Drama'",wild stallion travel across frontier old west befriend young human find true love mare
Amsterdam,62.0,"'Crime', 'Comedy', 'History', 'Thriller', 'Mystery'",three friends doctor nurse murder become suspect uncover one outrageous plot american history
Scooby-Doo,60.0,"'Mystery', 'Adventure', 'Comedy'",mystery inc gang go separate way apart two year receive invitation spooky island know others also invite show discover amusement park affect young visitor strange way
Despicable Me 2,69.0,"'Animation', 'Comedy', 'Family'",grub recruit league help deal powerful new super criminal
Maze Runner: The Scorch Trials,67.0,"'Science Fiction', 'Action', 'Thriller', 'Adventure'",thomas fellow graders face great challenge yet search clue mysterious powerful organization know word journey take scorch desolate landscape fill unimaginable obstacle team resistance fighter graders take words vastly superior force uncover shock plan
Spirited,71.0,'Comedy',christmas eve ghost christmas present select one dark soul reform visit three spirit season pick wrong scrooge clint briggs turn table ghostly host present find reexamine past present future
Godzilla: King of the Monsters,67.0,"'Science Fiction', 'Action'",follow heroic effort agency monarch member face battery godspeed monster include mighty godzilla collide mother roman ultimate nemesis king ancient think mere myth rise vie supremacy leave humanity existence hang balance
Trolls World Tour,74.0,"'Family', 'Animation', 'Comedy', 'Fantasy', 'Adventure', 'Music'",queen poppy branch make surprise discovery troll worlds beyond distinct difference create big clash various tribe mysterious threat put troll across land danger poppy branch band friend must embark epic quest create harmony among feud troll unite certain doom
Fistful of Vengeance,56.0,"'Action', 'Fantasy'",revenge mission become fight save world ancient threat superpowered assassin kai track killer bangkok
American Sicario,60.0,"'Crime', 'Action'",story rise fall first drug lord mexico tale power money greed betrayal amongst rival member drug cartel find american gangster erik vasquez scheme become top dog mexican underworld find make enemy powerful cartel ally
American Wedding,62.0,"'Comedy', 'Romance'",high school distant memory jim michelle get marry hurry since jim grandmother sick want see walk aisle prompt stifler throw ultimate bachelor party jim dad reliable ever doling advice one want hear
The Hunger Games: Mockingjay - Part 2,69.0,"'Action', 'Adventure', 'Science Fiction'",nation panel full scale war katniss confront president snow final showdown team group close friend include gale finnish peeta katniss go mission unit district risk live stage assassination attempt president snow become increasingly obsess destroy mortal trap enemy moral choice await katniss challenge arena face hunger game
White Chicks,69.0,"'Comedy', 'Crime'",two fbi agent brother marcus kevin homeland accidentally foil drug bust avoid fire accept mission escort pair socialites girl disfigure car accident refuse go leave without option marcus kevin decide pose sister transform black men rich white woman
Indemnity,70.0,"'Action', 'Thriller', 'Crime'",fireman its go run accuse crime doesn't even remember commit lead rabbit hole conspiracy high degree
Restart The Earth,69.0,"'Science Fiction', 'Horror', 'Action'",drug replicate plant cell create sentient form flower planet take flora humankind deplete chinese task force widow father young daughter fight survive mission inject antidote core plant reverse growth
Wreck-It Ralph,73.0,"'Family', 'Animation', 'Comedy', 'Adventure'",wreck ralph football pound villain arcade video game name fiit felix or game titular hero fix build ralph destroy want prove good guy villain ralph escape game land hero duty shooter help game hero battle alien invader later enter sugar rush part race game set track make candy cook sweets ralph meet von schwartz learn game face dire threat could affect entire arcade one ralph may inadvertently start
One Piece: Adventure of Nebulandia,75.0,"'Action', 'Animation', 'Adventure', 'Comedy', 'Fantasy'",mei devise plan zero kanji take part eat contest two eat strange mushroom turn men two lock jail cell rest straw hat pirate chase imprison crew land island feature mysterious fog make sea water effect season straw hat pirate arrival also part keeps plan
One Shot,68.0,'Action',elite squad navy seal covert mission transport prisoner cia black site island prison trap insurgent attack try rescue prisoner
Dragon Ball Z: Battle of Gods,68.0,"'Animation', 'Action', 'Science Fiction'",event battle god take place year battle main but determine fate entire universe awaken long slumber beers god destruction visit this attendant learn galactic overlord frieze defeat super saiyan north quadrant universe name boku also former student north kai ecstatic new challenge boku ignore king mais advice battle beers easily overwhelm defeat beers leave eerie remark nobody earth worthy destroy linger hero stop god destruction lose
